CENTRE.NAME,POSTAL.CODE,Longtitude,Latitude
THE CHILDREN'S PLACE PTE LTD,248935,103.8099187,1.29824751
PAT'S SCHOOLHOUSE PTE LTD,188647,103.8496101,1.299014528
SHAWS CDLC @ BRADDELL HEIGHTS PTE LTD,358666,103.8631615,1.347227996
KANOOKA SCHOOL HOUSE PTE LTD,640852,103.6928279,1.347446749
BRIGHT KIDS @ PASIR RIS PTE LTD,510764,103.9345593,1.376307047
AGAPE CHILD CARE(CCK) PTE. LTD.,680789,103.7491625,1.39587445
ICHIBAN MONTESSORI CHILD CARE CENTRE PTE LTD,689011,103.7461551,1.377756348
BUMBLE BEE CHILD CARE CENTRE,730369,103.7874227,1.433436207
BLOSSOM EDUCARE CENTRE LLP,536668,103.8975292,1.370670484
BRIGHT CHILD EDUCARE CENTRE,730128,103.7789273,1.437454883
SWEETLANDS CHILDCARE WOODLANDS 896B PTE. LTD.,731896,103.7925688,1.436924425
LITTLE GREENHOUSE @ S553 PTE LTD,550553,103.8712337,1.371710714
THE PREPARATORY PLACE,259101,103.8242513,1.314138617
SWEET KIDS CHILDCARE & DEVELOPMENT CENTRE,730795,103.8041462,1.442820351
MOTHERWELL CHILD CARE CENTRE,640976,103.6938047,1.340007305
LITTLE FELLOW CHILDCARE,425500,103.9105572,1.311820509
SAINT ELMO'S CHILD CARE,530926,103.8809244,1.376071454
LEARNINGHILL PASIR RIS PTE LTD,519497,103.9535329,1.376091028
BRIGHT KIDS @ JURONG WEST PTE LTD,640641,103.6963568,1.340668114
CHILTERN HOUSE FORUM,238884,103.8286786,1.306097522
LITTLE WORLD CHILD CARE AND DEVELOPMENT CENTRE PTE LTD,540113,103.9016935,1.383829505
ACE @ WORK EDUCARE PTE LTD,602288,103.7428809,1.338936352
KIDSZONE CHILDCARE AND DEVELOPMENT CENTRE,750480,103.8151687,1.452202126
APPLELAND PLAYHOUSE,103104,103.8115715,1.280546798
COLUMBIA ACADEMY PTE LTD,608838,103.7482235,1.332339707
LEARNING VISION @ WORK PTE. LTD.,730548,103.7939274,1.430897146
PEBBLE PLACE DEVELOPMENT CENTRE,437565,103.8928121,1.313155359
MONTESSORI @ GRACELAND PTE LTD,668111,103.7583073,1.376216902
IDEAL MONTESSORI PTE LTD,357741,103.8697701,1.339245606
PAT'S SCHOOLHOUSE PTE LTD,277114,103.7788979,1.318198832
ACE @ WORK CHILDCARE PTE LTD,680703,103.7459308,1.391317675
KINDERLAND PRESCHOOL,730900,103.7869309,1.435018296
THE KIDDIWINKIE PLACE PTE LTD,229492,103.8399643,1.310398814
ODYSSEY THE GLOBAL PRESCHOOL PTE LTD,436559,103.8875138,1.302051187
EVERLAND CHILD CARE & DEVELOPMENT CENTRE,546663,103.900867,1.392767004
BRIGHTON MONTESSORI INTERNATIONAL PRE-SCHOOL @ FORT,439077,103.8857673,1.299738597
CHILTERN HOUSE TURF CLUB,287982,103.7937054,1.334635852
ETONHOUSE PRE-SCHOOL PTE LTD,287771,103.7982365,1.331203926
EQ EDUCARE PTE LTD,680309,103.7457107,1.385117786
FIRST STEP CHILD CARE AND CHILD DEVELOPMENT CENTRE,510553,103.9527692,1.367975437
ACE @ WORK ENRICHMENT PTE LTD,680757,103.7459142,1.392848018
ANGEL CARE CENTRE PTE LTD,760626,103.835749,1.417493669
MODERN MONTESSORI CHILD CARE & DEVELOPMENT CENTRE PTE LTD,544914,103.8779549,1.354870372
KIDZMONTE CHILD DEVELOPMENT CENTRE,507528,103.9634749,1.362112201
CARPE DIEM SCHOOLHOUSE PTE LTD,598640,103.770323,1.343465125
KINDERLAND PRESCHOOL,597627,103.7795484,1.319942403
EMMANUEL CHILD EDUCARE,769646,103.8259003,1.441204756
MARIS KIDZ SCHOOLHOUSE,520165,103.9592488,1.345530161
AGAPE CHILD CARE(SK) PTE. LTD.,542325,103.8906755,1.392908499
MODERN MONTESSORI PRESCHOOL CENTRE,730750,103.7939491,1.444340363
ACEKIDZ @ COMMUNITY,129605,103.7648321,1.302645563
LEARNING SEEDS CHILD DEVELOPMENT CENTRE PTE.LTD.,109923,103.8119779,1.268971424
JUNIOR PLAYWORLD CHILD CARE & DEVELOPMENT CENTRE,537822,103.8974218,1.371260761
AGAPE CHILD CARE(JW) PTE. LTD.,644274,103.7043861,1.352203458
LEARNING KIDZ EDUCARE PTE. LTD.,569059,103.8493095,1.389356451
LEARNING VISION @ WORK PTE LTD,680475,103.7390155,1.377897277
SWEETLANDS CHILDCARE WOODLANDS 608 PTE. LTD.,730608,103.7964961,1.436219683
THE CHILDREN'S DISCOVERY CENTRE PTE LTD,540184,103.9082811,1.392089589
THE SUNBIRD CHILD DEVELOPMENT CENTRE PTE LTD,541122,103.906024,1.386614515
MAPLE BEAR EDUCARE PTE LTD,118599,103.7847213,1.280310011
ALPHABET PLAYHOUSE @ EAST COAST PTE LTD,466497,103.940617,1.314120707
MY JOLLY EDUCARE PTE LTD,487274,103.9587861,1.339471472
ELFA PRESCHOOL,534564,103.8740263,1.35099016
PHYLLIS' RICCIA SCHOOL PTE LTD,738229,103.7809065,1.428027634
BLOOM EDUCARE PTE LTD,486880,103.9627523,1.346835297
CHILTERN HOUSE EAST COAST,397999,103.8809139,1.308578157
LORNA WHISTON PRE-SCHOOL,117783,103.7944571,1.285707788
CITIKIDS ACADEMY PTE LTD,69925,103.8473976,1.281821545
THE ORANGE TREE (SIMEI) PTE. LTD.,417940,103.9042895,1.332922015
SHEFFIELD KIDSWORLD (CCK) PTE. LTD.,680433,103.7417718,1.384930783
RAINBOWLAND LEARNING CENTRE PTE LTD,576013,103.8426785,1.354614735
LITTLE TREE HOUSE LLP,537731,103.8923944,1.369090738
EUREKA SCHOOLHOUSE PTE LTD,487127,103.9576993,1.338493518
AMAZING STAR MONTESSORI HOUSE (SK),545270,103.9032981,1.390871393
SUNFLOWER CHILDCARE & DEVELOPMENT CENTRE PTE LTD,469627,103.9268572,1.333357987
RAFFLES HOUSE PRESCHOOL PTE LTD,309007,103.8320586,1.319308711
MODERN MONTESSORI CHILD CARE & DEVELOPMENT CENTRE PTE LTD,127157,103.7638373,1.309551387
THE LITTLE KIDS HOUSE - VEGETARIAN,546654,103.9010141,1.392193272
SWEETLANDS CHILDCARE WOODLANDS 643 PTE. LTD.,730643,103.8015689,1.437696282
ETONHOUSE PRE-SCHOOL PTE LTD,237995,103.8414749,1.291900316
CHERIE HEARTS @ CHARLTON PTE LTD,539643,103.881586,1.356521506
CM CENTRAL PTE LTD,560161,103.8395491,1.374164454
RAINBOW CHILDCARE PTE LTD,640221,103.7124293,1.346348197
HAPPY TOWN CHILD CARE CENTRE,387311,103.8723879,1.315691111
SUPERLAND MONTESSORI PRE-SCHOOL,160568,103.8310352,1.289914026
JUST KIDS LEARNING PLACE PTE LTD,650159,103.7427086,1.34857538
BRIGHT KIDS SCHOOL HOUSE PTE LTD,824173,103.9107647,1.396007992
CUDDLE KIDS PLAYHOUSE PTE. LTD.,730539,103.7922559,1.429077117
LITTLE TALENT CHILDCARE & DEVELOPMENT CENTRE,640420,103.7271728,1.350571751
EUREKA SCHOOLHOUSE PTE LTD,129423,103.7562383,1.319724525
SUNNYTOTS SCHOOLHOUSE,760658,103.8394874,1.421896322
BRIGHT KIDS SCHOOL HOUSE PTE LTD,824175,103.9077693,1.398470605
APPLELAND MONTESSORI CHILD CARE CENTRE,650165,103.741975,1.347319856
SEEDLINGS MONTESSORI ALEXANDRA PTE LTD,142057,103.810959,1.292703399
AMAZING STAR MONTESSORI HOUSE (GREENRIDGE),671524,103.7662285,1.385405693
BRIGHT KIDS SCHOOL HOUSE PTE LTD,820192,103.9095143,1.399770926
RED SCHOOLHOUSE PTE LTD,573955,103.8337075,1.360134798
